year,partner,commodity,trade_value,net_weight
2023,Belarus,Rice,271336.35,512660
2023,Cambodia,Rice,1713072.81,5190638
2023,Cameroon,Rice,90147547.7,266589490
2023,Canada,Rice,109729014.7,94402243
2023,Cayman Isds,Rice,150162.08,120324
2023,Central African Rep.,Rice,240945.7,381200
2023,Sri Lanka,Rice,8652007.64,13947520
2023,Chile,Rice,3056258.43,6341241
2023,China,Rice,64675431.02,182612140
2023,Colombia,Rice,123082.11,100850
2023,Comoros,Rice,4039602.29,5611820
2023,Congo,Rice,19369927.99,51826994
2023,Dem. Rep. of the Congo,Rice,26409000.97,74916940
2023,Costa Rica,Rice,48866.64,34800
2023,Croatia,Rice,1985109.11,5084460
2023,Cuba,Rice,77067829.3,138301020
2023,Cyprus,Rice,2076011.57,1543260
2023,Czechia,Rice,58713.74,44780
2023,Benin,Rice,570618344.2,1519597410
2023,Denmark,Rice,1745717.36,1330080
2023,Equatorial Guinea,Rice,4290491.49,10496060
2023,Ethiopia,Rice,4342531.88,7471750
2023,Estonia,Rice,244888.51,203516
2023,Fiji,Rice,1964650.2,3337592
2023,Finland,Rice,629811.47,505220
2023,France,Rice,27125356.09,22488604
2023,Djibouti,Rice,156797755.9,382422570
2023,Gabon,Rice,1062643.88,2051736
2023,Georgia,Rice,8849816.25,11380830
2023,Gambia,Rice,47612717.75,135112563
2023,Germany,Rice,25589989.8,20312060
2023,Ghana,Rice,51118500.61,121428930
2023,Kiribati,Rice,33982.61,62400
2023,Greece,Rice,2832216.09,2779900
2023,Guatemala,Rice,224385.3,411486
2023,Guinea,Rice,322424986.5,841142597
2023,Guyana,Rice,68202.78,46000
2023,Haiti,Rice,6530503.17,14490340
2023,Honduras,Rice,431766.45,1103890
2023,China Hong Kong SAR,Rice,1723601.44,1405787
2023,Hungary,Rice,99569.27,78000
2023,Indonesia,Rice,22183223.87,53420160
2023,Iran,Rice,734286706.9,749335960
2023,Iraq,Rice,732897981.1,694275900
2023,Ireland,Rice,3994401.71,3980460
2023,Israel,Rice,73173215.33,67772730
2023,Italy,Rice,37295415.07,32221470
2023,Côte d'Ivoire,Rice,248495119.3,664538590
2023,Jamaica,Rice,1315034.45,972822
2023,Japan,Rice,2084068.44,1430584
2023,Kazakhstan,Rice,472910.59,455116
2023,Jordan,Rice,92500670.39,94573300
2023,Kenya,Rice,278599354,753846300
2023,Rep. of Korea,Rice,1125583.8,1003930
2023,Kuwait,Rice,212639174.4,207594600
2023,Kyrgyzstan,Rice,231358.78,287715
2023,Lebanon,Rice,23703503.62,24912670
2023,Latvia,Rice,358892.55,438932
2023,Liberia,Rice,126515386.4,318882179
2023,Libya,Rice,14803768.56,21651410
2023,Lithuania,Rice,2517584.49,5581002
2023,Luxembourg,Rice,30734.84,20000
2023,China Macao SAR,Rice,34905.68,25391
2023,Madagascar,Rice,87055778.98,286004808
2023,Malawi,Rice,35816.88,63850
2023,Malaysia,Rice,138337807.7,247635415
2023,Maldives,Rice,15832795.41,27602482.25
2023,Mali,Rice,7965083.47,23362200
2023,Malta,Rice,1448739.86,1250230
2023,Mauritania,Rice,11792357.01,11191206
2023,Mauritius,Rice,44843842,46972810.57
2023,Mexico,Rice,1137815.66,1207100
2023,Other Asia nes,Rice,203433.36,135976
2023,Mongolia,Rice,25562.64,25000
2023,Rep. of Moldova,Rice,214654.62,441000
2023,Montenegro,Rice,79962.03,250000
2023,Morocco,Rice,27399752.92,58763940
2023,Mozambique,Rice,122840760.2,368206730
2023,Oman,Rice,214734335.7,231295393
2023,Namibia,Rice,5836001.44,13355000
2023,Nepal,Rice,205898432.9,565977200
2023,Netherlands,Rice,110765620.2,104606910
2023,Curaçao,Rice,314962.22,233541
2023,Vanuatu,Rice,17521.77,25000
2023,New Zealand,Rice,12102809.69,11290758
2023,Niger,Rice,13882797,37459780
2023,Nigeria,Rice,8553012.9,6632477
2023,Norway,Rice,2306716.82,1799420
2023,Pakistan,Rice,3193602.01,6637110
2023,Panama,Rice,84257.86,54678
2023,Papua New Guinea,Rice,2749208.27,7479041
2023,Philippines,Rice,34496749.19,27034310
2023,Poland,Rice,3356358.45,3611185
2023,Portugal,Rice,12290875.19,9886500
2023,Guinea-Bissau,Rice,2554567.96,7324380
2023,Timor-Leste,Rice,39406607.01,104281800
2023,Qatar,Rice,156396570.4,180108856.9
2023,Romania,Rice,8856354.13,16375670
2023,Russian Federation,Rice,64209775.28,132780151
2023,Rwanda,Rice,3958848.78,10562140
2023,Saint Lucia,Rice,2454.01,1200
2023,Sao Tome and Principe,Rice,686480.28,2011500
2023,Saudi Arabia,Rice,1279221279,1234976820
2023,Senegal,Rice,321873446,936752010
2023,Serbia,Rice,65670.14,72700
2023,Seychelles,Rice,5481713.51,4961167
2023,Sierra Leone,Rice,114233637.6,297069735
2023,Singapore,Rice,97785194.99,178759400
2023,Viet Nam,Rice,238033019.4,673485955
2023,Slovenia,Rice,1066077.19,637144
2023,Somalia,Rice,180397020,413694900
2023,South Africa,Rice,130343903.4,287906070
2023,Zimbabwe,Rice,5101670.86,12366800
2023,Spain,Rice,9202627.42,8632620
2023,South Sudan,Rice,270672.57,804220
2023,Sudan,Rice,34758369.34,83305660
2023,Suriname,Rice,28649.19,26060
2023,Eswatini,Rice,92004.61,228900
2023,Sweden,Rice,11026479.96,9155127
2023,Switzerland,Rice,2537549.57,1925801
2023,Syria,Rice,19303566.16,26616600
2023,Tajikistan,Rice,1008789.41,1447000
2023,Thailand,Rice,3956791.19,3245972
2023,Togo,Rice,321340732,863485154
2023,Trinidad and Tobago,Rice,595294.4,485457
2023,United Arab Emirates,Rice,463657659.4,559648290
2023,Tunisia,Rice,1735201.4,2685742
2023,Türkiye,Rice,77446133.3,95541440
2023,Turkmenistan,Rice,41983.92,81000
2023,Uganda,Rice,286118.31,326614
2023,Ukraine,Rice,2676198.74,5951670
2023,Egypt,Rice,81326416.55,167486900
2023,United Kingdom,Rice,242886050.4,222695571
2023,United Rep. of Tanzania,Rice,79492203.88,194576700
2023,USA,Rice,333342409.5,281872762
2023,Burkina Faso,Rice,14042015.3,37211216
2023,Uruguay,Rice,15664.43,8500
2023,Uzbekistan,Rice,261117.68,353140
2023,Venezuela,Rice,69275.05,62620
2023,Yemen,Rice,335055136.5,335140300
2023,Zambia,Rice,173140.26,316075
2023,Areas nes,Rice,432615.13,364100
2022,World,Rice,10766622669,22236585452
2022,Afghanistan,Rice,17412.01,23000
2022,Albania,Rice,126098.62,230000
2022,Algeria,Rice,64531120.1,127158710
2022,Angola,Rice,162644087.5,470861429
2022,Azerbaijan,Rice,3384321.24,4146340
2022,Argentina,Rice,89382.11,76810
2022,Australia,Rice,67675477.04,65080773
2022,Austria,Rice,271093.83,174344
2022,Bahrain,Rice,46534986.71,51881282
2022,Bangladesh,Rice,256990038.2,656718558
2022,Armenia,Rice,438696.74,390244
2022,Barbados,Rice,21660.67,38203
2022,Belgium,Rice,13714332.81,13802656
2022,Bhutan,Rice,25010602.56,58143150
2022,Bosnia Herzegovina,Rice,170336.16,160000
2022,Botswana,Rice,323993.61,302312
2022,Brazil,Rice,40787.68,41920
2022,Brunei Darussalam,Rice,1340396.11,1789647
2022,Bulgaria,Rice,1053870,1950460
2022,Myanmar,Rice,314385.59,298257
2022,Burundi,Rice,38811.92,135000
2022,Belarus,Rice,434369.14,793828
2022,Cambodia,Rice,596556.69,1660405
2022,Cameroon,Rice,175038660,529027070
2022,Canada,Rice,82380545.71,75829604
2022,Cabo Verde,Rice,1902225.51,5230000
2022,Cayman Isds,Rice,66568.97,62187
2022,Central African Rep.,Rice,1532649.35,3545340
2022,Sri Lanka,Rice,220323415.1,657263412.4
2022,Chile,Rice,378074.3,331013
2022,China,Rice,670286364.8,2118090377
2022,Colombia,Rice,58045.53,48900
2022,Comoros,Rice,16177915.61,29844825
2022,Congo,Rice,43440728.59,129624666
2022,Dem. Rep. of the Congo,Rice,30539813.32,92560712
2022,Costa Rica,Rice,26663.95,19630
2022,Croatia,Rice,1064037.26,2537685
2022,Cuba,Rice,15644589.33,28950000
2022,Cyprus,Rice,1462499.29,1235886
2022,Czechia,Rice,174061.84,145000
2022,Benin,Rice,550931887.4,1630419535
2022,Denmark,Rice,834244.91,731318
2022,Dominican Rep.,Rice,778.74,249
2022,Equatorial Guinea,Rice,3302869.34,9011540
2022,Ethiopia,Rice,27905323.17,73186099
2022,Eritrea,Rice,444920.98,1144000
2022,Estonia,Rice,212865.78,184620
2022,Fiji,Rice,3158460.21,7453544
2022,Finland,Rice,524084.36,449562
2022,France,Rice,15880773.38,14888964
2022,Djibouti,Rice,158226078.8,447614432
2022,Gabon,Rice,365198.62,729172
2022,Georgia,Rice,2663783.47,3813151
2022,Gambia,Rice,28862013.1,91970810
2022,Germany,Rice,12773123.35,11050705
2022,Ghana,Rice,30762062.5,81674054
2022,Kiribati,Rice,30913,73764
2022,Greece,Rice,1446922.84,1677917
2022,Guatemala,Rice,22183.12,30602
2022,Guinea,Rice,284050034.5,799784165
2022,Guyana,Rice,39326.32,23000
2022,Haiti,Rice,799657.57,996120
2022,China Hong Kong SAR,Rice,1472340.23,1208074
2022,Hungary,Rice,366798.71,789395
2022,Indonesia,Rice,63602314.12,180541890
2022,Iran,Rice,1155109825,1245250480
2022,Iraq,Rice,354319587.2,376275937
2022,Ireland,Rice,1997556.75,2255591
2022,Israel,Rice,62793894.31,61186913
2022,Italy,Rice,22580334.11,22495100
2022,Côte d'Ivoire,Rice,416945513.1,1198905667
2022,Jamaica,Rice,766845.58,566200
2022,Japan,Rice,1817998.67,1522732
2022,Kazakhstan,Rice,682227.48,1069140
2022,Jordan,Rice,118077691.8,124204539
2022,Kenya,Rice,146045389.7,400705981
2022,Rep. of Korea,Rice,1109351.64,1046120
2022,Kuwait,Rice,174430847.3,186132476
2022,Kyrgyzstan,Rice,160243.98,239975
2022,Lebanon,Rice,10391309.03,11745261.86
2022,Latvia,Rice,83404.95,65000
2022,Liberia,Rice,120576399.1,329892113.5
2022,Libya,Rice,7228561.87,9914971
2022,Lithuania,Rice,2034095.75,5219576
2022,Madagascar,Rice,194608428,624079791
2022,Malawi,Rice,38939.56,57655
2022,Malaysia,Rice,134190522.2,262521972.8
2022,Maldives,Rice,13152441.77,25182859
2022,Mali,Rice,4613201.11,13892980
2022,Malta,Rice,731755.5,660204
2022,Mauritania,Rice,5889470.69,7019680
2022,Mauritius,Rice,33147035.51,30669578
2022,Mexico,Rice,936696.26,852740
2022,Other Asia nes,Rice,124434.99,85636
2022,Mongolia,Rice,188990.91,166020
2022,Rep. of Moldova,Rice,270463.97,346172
2022,Montenegro,Rice,276433.08,782500
2022,Morocco,Rice,11921774.99,26543308
2022,Mozambique,Rice,110431258,336494430
2022,Oman,Rice,132977060.6,157901110
2022,Namibia,Rice,3182715.64,8865128
2022,Nepal,Rice,326765603,939531713
2022,Netherlands,Rice,69308177.95,81524209
2022,Curaçao,Rice,458179.28,360711
2022,New Zealand,Rice,7132047.97,7356005
2022,Niger,Rice,23227129.61,72016500
2022,Nigeria,Rice,4236282.73,3673075
2022,Norway,Rice,1771783.6,1239819
2022,Pakistan,Rice,846146.62,1572140
2022,Panama,Rice,89034.42,68436
2022,Papua New Guinea,Rice,19212281.36,55022230
2022,Peru,Rice,13652.85,10300
2022,Philippines,Rice,30189177.76,22390991
2022,Poland,Rice,1547205.31,2442900
2022,Portugal,Rice,1821619.85,2020920
2022,Guinea-Bissau,Rice,183758.93,520000
2022,Timor-Leste,Rice,25517084.72,76844665
2022,Qatar,Rice,123777247.8,166187631
2022,Romania,Rice,5268552.75,11549200
2022,Russian Federation,Rice,56653719.35,126034664
2022,Rwanda,Rice,5591899.36,16758000
2022,Saint Lucia,Rice,4795.98,2225
2022,Sao Tome and Principe,Rice,427492.27,1274000
2022,Saudi Arabia,Rice,989793225.3,1012564830
2022,Senegal,Rice,425178382.3,1355146775
2022,Serbia,Rice,66409.54,186500
2022,Seychelles,Rice,5559173.19,5259151.61
2022,Sierra Leone,Rice,79348161.66,221766800
2022,Singapore,Rice,70311839.93,147211323
2022,Viet Nam,Rice,187531428.9,604941882
2022,Slovenia,Rice,792265.59,508797
2022,Somalia,Rice,181927670.7,507291955
2022,South Africa,Rice,77643679.08,189356219
2022,Zimbabwe,Rice,1781388.56,5160000
2022,Spain,Rice,7790928.13,10835274
2022,South Sudan,Rice,219875.39,615500
2022,Sudan,Rice,34366515.39,86294306
2022,Suriname,Rice,4137.87,4500
2022,Sweden,Rice,4792537.2,4167970
2022,Switzerland,Rice,2794251.95,1988828
2022,Syria,Rice,8961588.93,9311300
2022,Tajikistan,Rice,49441.76,43200
2022,Thailand,Rice,2196932.45,2223085
2022,Togo,Rice,307483955.7,886271252
2022,Trinidad and Tobago,Rice,364649.92,306360
2022,United Arab Emirates,Rice,432986894.4,540741874
2022,Tunisia,Rice,345574.5,742500
2022,Türkiye,Rice,43851772.4,91366042
2022,Turkmenistan,Rice,141897.84,164000
2022,Uganda,Rice,353852.11,608977
2022,Ukraine,Rice,4296140.76,9811770
2022,Egypt,Rice,70061430.84,112418650
2022,United Kingdom,Rice,130703090.8,149177881
2022,United Rep. of Tanzania,Rice,29444544.59,67769971
2022,USA,Rice,270982773.1,249900925.7
2022,Burkina Faso,Rice,21624978.38,66229430
2022,Uruguay,Rice,2856.97,2000
2022,Uzbekistan,Rice,61188.23,53375
2022,Venezuela,Rice,55945.42,40380
2022,Yemen,Rice,329684902.3,342955005
2022,Zambia,Rice,101521.92,156175
2022,Areas nes,Rice,150657.54,124500
2021,World,Rice,9623556833,21279907061
2021,Afghanistan,Rice,4106184.42,6395500
2021,Albania,Rice,287387.96,800700
2021,Algeria,Rice,55896930.36,122448500
2021,Angola,Rice,84525349.75,221100910
2021,Azerbaijan,Rice,11992940.13,16271550
2021,Argentina,Rice,122602.08,107400
2021,Australia,Rice,53139249.83,58186902
2021,Austria,Rice,653649.45,387417
2021,Bahamas,Rice,4.83,9.78
2021,Bahrain,Rice,39697779.14,49389894
2021,Bangladesh,Rice,934229741.7,2483279220
2021,Armenia,Rice,521859.43,642900
2021,Barbados,Rice,48490.29,134000
2021,Belgium,Rice,15468589.38,32831960
2021,Bhutan,Rice,24383623.35,57514484
2021,Bosnia Herzegovina,Rice,92159.82,152040
2021,Botswana,Rice,438717.61,475360
2021,Brazil,Rice,36513.68,42732
2021,Belize,Rice,1082.41,1000
2021,Brunei Darussalam,Rice,1575174.92,2560596
2021,Bulgaria,Rice,550451.36,1741100
2021,Myanmar,Rice,209957.6,231360
2021,Belarus,Rice,11415231.17,37539140
2021,Cambodia,Rice,49934.09,50695
2021,Cameroon,Rice,154303580.2,437233062
2021,Canada,Rice,58229492.67,57650454
2021,Cabo Verde,Rice,165076.52,340000
2021,Cayman Isds,Rice,86921.41,81857
2021,Central African Rep.,Rice,212837.74,272600
2021,Sri Lanka,Rice,89354629.47,206758450
2021,Chad,Rice,18638.96,52000
2021,Chile,Rice,867722.05,2022550
2021,China,Rice,369391949.6,1208396556
2021,Colombia,Rice,91618.25,75500
2021,Comoros,Rice,3939212.6,3879350
2021,Congo,Rice,23100177.99,61142655
2021,Dem. Rep. of the Congo,Rice,32389254.69,87056907
2021,Costa Rica,Rice,25645.65,21180
2021,Croatia,Rice,914359.58,2147400
2021,Cyprus,Rice,1117432.47,1104400
2021,Czechia,Rice,194734.04,222900
2021,Benin,Rice,454536039.5,1274725220
2021,Denmark,Rice,760512.12,765526
2021,Dominican Rep.,Rice,10205.67,17425
2021,Ecuador,Rice,10260.39,10544
2021,Equatorial Guinea,Rice,2489848.4,5592870
2021,Ethiopia,Rice,36656938.05,104886320
2021,Estonia,Rice,203677.46,248260
2021,Fiji,Rice,4098058.91,9488690
2021,Finland,Rice,587503.01,514773
2021,France,Rice,15894532.1,16791480
2021,Djibouti,Rice,163209832.7,500179370
2021,Gabon,Rice,428058.31,809135
2021,Georgia,Rice,5649793.79,9747470
2021,Gambia,Rice,26051939.1,87816920
2021,Germany,Rice,14083017.32,12902608
2021,Ghana,Rice,50925990.71,138304095
2021,Kiribati,Rice,10920.03,25396
2021,Greece,Rice,1632157.26,2033500
2021,Guatemala,Rice,91564.89,237000
2021,Guinea,Rice,263344534,726770594
2021,Guyana,Rice,29646.89,23250
2021,Haiti,Rice,4686540.79,10941880
2021,China Hong Kong SAR,Rice,1404945.57,1294021
2021,Hungary,Rice,23620.49,60000
2021,Indonesia,Rice,74056989.28,244720164
2021,Iran,Rice,662011442.9,871375400
2021,Iraq,Rice,521965479.6,747958200
2021,Ireland,Rice,2399361.62,3888919
2021,Israel,Rice,53995724.2,61517879
2021,Italy,Rice,20904020.35,22834740
2021,Côte d'Ivoire,Rice,318753279.7,909674254
2021,Jamaica,Rice,903808.44,637371
2021,Japan,Rice,2580666.26,2342529
2021,Kazakhstan,Rice,144171.59,175300
2021,Jordan,Rice,50863058.88,68670860
2021,Kenya,Rice,83107594.47,214034899
2021,Rep. of Korea,Rice,5932795.58,12189070
2021,Kuwait,Rice,156060829.5,185897409
2021,Kyrgyzstan,Rice,144838.21,195620
2021,Lao People's Dem. Rep.,Rice,125696.3,442000
2021,Lebanon,Rice,10388594.91,14356692
2021,Latvia,Rice,67199.31,86508
2021,Liberia,Rice,130024703.6,356864244
2021,Libya,Rice,9130588.97,17073100
2021,Lithuania,Rice,2110636.8,5459044
2021,Luxembourg,Rice,51528.96,40500
2021,Madagascar,Rice,149998070.6,455411040
2021,Malawi,Rice,58451,76110
2021,Malaysia,Rice,204019369.7,460152710
2021,Maldives,Rice,12320838.01,25229683
2021,Mali,Rice,4997009.64,14036265
2021,Malta,Rice,465669.11,471107
2021,Mauritania,Rice,6061711.42,9348820
2021,Mauritius,Rice,29411976.9,38726960
2021,Mexico,Rice,482434.79,517860
2021,Other Asia nes,Rice,117532.9,97980
2021,Mongolia,Rice,42351.7,60545
2021,Rep. of Moldova,Rice,162398.17,447320
2021,Montenegro,Rice,467519.27,1201000
2021,Montserrat,Rice,13.69,20
2021,Morocco,Rice,11086600.67,26453710
2021,Mozambique,Rice,92831001.36,250739162
2021,Oman,Rice,106559763.8,145905042
2021,Namibia,Rice,2619285.18,7260100
2021,Nepal,Rice,427346854.6,1320826600
2021,Netherlands,Rice,54002889.04,64859732
2021,Curaçao,Rice,445775.32,418966
2021,New Zealand,Rice,9691313.95,10050603
2021,Nicaragua,Rice,21912.04,50000
2021,Niger,Rice,38439332.66,113264300
2021,Nigeria,Rice,5873570.96,5426216
2021,Norway,Rice,1291878.85,1012507
2021,Marshall Isds,Rice,177.53,115
2021,Pakistan,Rice,91765.1,225000
2021,Panama,Rice,3366.74,2700
2021,Papua New Guinea,Rice,18196496.99,53391921
2021,Peru,Rice,34293.02,28400
2021,Philippines,Rice,38678198.68,20237335
2021,Poland,Rice,1563644.1,2906000
2021,Portugal,Rice,2222652.67,2892440
2021,Guinea-Bissau,Rice,5417482.73,19234800
2021,Timor-Leste,Rice,20373295.74,57472060
2021,Qatar,Rice,98665606.81,143152387
2021,Romania,Rice,163629.53,207840
2021,Russian Federation,Rice,56702148.06,137873900
2021,Rwanda,Rice,2282794.74,5929450
2021,Sao Tome and Principe,Rice,820786.81,2031000
2021,Saudi Arabia,Rice,788155008.9,909205628
2021,Senegal,Rice,335792124.2,1181315127
2021,Serbia,Rice,160029.68,416000
2021,Seychelles,Rice,4443718.08,5867329
2021,Sierra Leone,Rice,47883602.87,134893344
2021,Singapore,Rice,69023601.26,138630600
2021,Viet Nam,Rice,262346131.1,814209368
2021,Slovenia,Rice,1146966.43,821200
